ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE ADEQUAÇÃO DE ASPECTOS FÍSICOS ESTRUTURAIS E DE RECURSOS HUMANOS NA UNIDADE ESCOLAR;ASPECTOS FÍSICOS ESTRUTURAIS E DE RECURSOS HUMANOS
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE ASPECTOS RELATIVOS À INSUFICIÊNCIA DO NÚMERO DE VAGAS NA REDE DE ENSINO.; INSUFICIÊNCIA DO NÚMERO DE VAGAS NA REDE DE ENSINO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE ADEQUAÇÃO DO NÚMERO DE PROFISSIONAIS DA EDUCAÇÃO NA REDE DE ENSINO.; ADEQUAÇÃO DO NÚMERO DE PROFISSIONAIS DA EDUCAÇÃO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE FORMAÇÃO INICIAL E CONTINUADA DE PROFESSORES;FORMAÇÃO INICIAL E CONTINUADA DE PROFESSORES
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE GESTÃO DEMOCRÁTICA DA EDUCAÇÃO;GESTÃO DEMOCRÁTICA DA EDUCAÇÃO
ANÁLISE TÉCNICO-PEDAGÓGICA DAS METAS ENTRE OS PLANOS DE EDUCAÇÃO VIGENTES.;METAS ENTRE OS PLANOS DE EDUCAÇÃO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE FUNCIONAMENTO DOS ÓRGÃOS DE CONTROLE SOCIAL NA EDUCAÇÃO.;FUNCIONAMENTO DOS ÓRGÃOS DE CONTROLE SOCIAL NA EDUCAÇÃO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE ALIMENTAÇÃO ESCOLAR EM UNIDADES ESCOLARES E SISTEMAS DE ENSINO;ALIMENTAÇÃO ESCOLAR EM UNIDADES ESCOLARES E SISTEMAS DE ENSINO
ANÁLISE TÉCNICA SOBRE ASPECTOS ESSENCIAIS EM EDUCAÇÃO ESPECIAL;ASPECTOS ESSENCIAIS EM EDUCAÇÃO ESPECIAL
ANÁLISE TÉCNICO PEDAGÓGICA SOBRE OFERTA DE EDUCAÇÃO DE JOVENS E ADULTOS;OFERTA DE EDUCAÇÃO DE JOVENS E ADULTOS
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE TRANSPORTE ESCOLAR ;TRANSPORTE ESCOLAR
ANÁLISE TÉCNICO-PEDAGÓGICA DE PROGRAMAS SUPLEMENTARES DO GOVERNO FEDERAL;PROGRAMAS SUPLEMENTARES DO GOVERNO FEDERAL
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE MATERIAL DIDÁTICO E PEDAGÓGICO;MATERIAL DIDÁTICO E PEDAGÓGICO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE CONTEÚDO CURRICULAR OFERTADO PELOS SISTEMAS DE ENSINO NA EDUCAÇÃO BÁSICA.;CONTEÚDO CURRICULAR OFERTADO PELOS SISTEMAS DE ENSINO NA EDUCAÇÃO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE FREQUÊNCIA ESCOLAR;FREQUÊNCIA ESCOLAR
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE PRÁTICAS SOCIAIS NO AMBIENTE ESCOLAR;PRÁTICAS SOCIAIS NO AMBIENTE ESCOLAR
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE REGULARIDADE E AUTORIZAÇÃO DE FUNCIONAMENTO DAS UNIDADES DE ENSINO;REGULARIDADE E AUTORIZAÇÃO DE FUNCIONAMENTO DAS UNIDADES DE ENSINO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE AS INSTITUIÇÕES CONVENIADAS DA REDE PÚBLICA DE ENSINO;INSTITUIÇÕES CONVENIADAS DA REDE PÚBLICA DE ENSINO
